timestamp, utilization.gpu [%], pstate, temperature.gpu, clocks.current.sm [MHz], power.draw [W]
2023/07/13 18:15:33.116, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.122, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.132, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.137, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.147, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.153, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.163, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.168, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.178, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.184, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.194, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.199, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.209, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.215, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.224, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.230, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.240, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.245, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.255, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.261, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.271, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.276, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.286, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.292, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.302, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.307, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.317, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.323, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.332, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.338, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.348, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.354, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.363, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.369, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.379, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.385, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.394, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.400, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.409, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.415, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.425, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.431, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.440, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.446, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.456, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.462, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.471, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.477, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.486, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.492, 0, P0, 34, 745, 60.16
2023/07/13 18:15:33.502, 0, P0, 34, 745, 60.16
