timestamp, utilization.gpu [%], pstate, temperature.gpu, clocks.current.sm [MHz], power.draw [W]
2023/07/20 14:16:34.926, 0, P2, 40, 2520, 51.82
2023/07/20 14:16:34.938, 0, P2, 40, 2520, 51.82
2023/07/20 14:16:34.944, 0, P2, 40, 2520, 51.97
2023/07/20 14:16:34.951, 0, P2, 40, 2520, 51.97
2023/07/20 14:16:34.964, 0, P2, 40, 2520, 51.97
2023/07/20 14:16:34.970, 0, P2, 40, 2520, 51.97
2023/07/20 14:16:34.978, 0, P2, 40, 2520, 51.97
2023/07/20 14:16:34.985, 0, P2, 40, 2520, 51.97
2023/07/20 14:16:34.992, 0, P2, 40, 2520, 51.97
2023/07/20 14:16:34.999, 0, P2, 40, 2520, 51.97
2023/07/20 14:16:35.005, 0, P2, 40, 2520, 51.97
2023/07/20 14:16:35.012, 0, P2, 40, 2520, 51.97
2023/07/20 14:16:35.019, 0, P2, 40, 2520, 51.97
2023/07/20 14:16:35.025, 0, P2, 40, 2520, 51.97
2023/07/20 14:16:35.032, 0, P2, 40, 2520, 51.97
2023/07/20 14:16:35.039, 0, P2, 40, 2520, 51.97
2023/07/20 14:16:35.046, 0, P2, 40, 2520, 51.75
2023/07/20 14:16:35.052, 0, P2, 40, 2520, 51.75
2023/07/20 14:16:35.059, 0, P2, 40, 2520, 51.75
2023/07/20 14:16:35.066, 0, P2, 40, 2520, 51.75
2023/07/20 14:16:35.073, 0, P2, 40, 2520, 51.75
2023/07/20 14:16:35.079, 0, P2, 40, 2520, 51.75
2023/07/20 14:16:35.086, 0, P2, 40, 2520, 51.75
2023/07/20 14:16:35.098, 0, P2, 40, 2520, 51.75
2023/07/20 14:16:35.104, 0, P2, 40, 2520, 51.75
2023/07/20 14:16:35.111, 0, P2, 40, 2520, 51.75
2023/07/20 14:16:35.119, 0, P2, 40, 2520, 51.75
2023/07/20 14:16:35.125, 0, P2, 40, 2520, 51.75
2023/07/20 14:16:35.132, 0, P2, 40, 2520, 51.75
2023/07/20 14:16:35.139, 0, P2, 40, 2520, 51.75
2023/07/20 14:16:35.146, 0, P2, 40, 2520, 51.56
2023/07/20 14:16:35.163, 0, P2, 40, 2520, 51.56
2023/07/20 14:16:35.170, 0, P2, 40, 2520, 51.56
2023/07/20 14:16:35.179, 0, P2, 40, 2520, 51.56
2023/07/20 14:16:35.185, 0, P2, 40, 2520, 51.56
2023/07/20 14:16:35.192, 0, P2, 40, 2520, 51.56
2023/07/20 14:16:35.199, 0, P2, 40, 2520, 51.56
2023/07/20 14:16:35.206, 0, P2, 40, 2520, 51.56
2023/07/20 14:16:35.212, 0, P2, 40, 2520, 51.56
2023/07/20 14:16:35.219, 0, P2, 40, 2520, 51.56
2023/07/20 14:16:35.226, 0, P2, 40, 2520, 51.56
2023/07/20 14:16:35.233, 0, P2, 40, 2520, 51.56
2023/07/20 14:16:35.239, 0, P2, 40, 2520, 51.56
2023/07/20 14:16:35.246, 0, P2, 40, 2520, 51.96
2023/07/20 14:16:35.258, 0, P2, 40, 2520, 51.96
2023/07/20 14:16:35.265, 0, P2, 40, 2520, 51.96
2023/07/20 14:16:35.271, 0, P2, 40, 2520, 51.96
2023/07/20 14:16:35.278, 0, P2, 40, 2520, 51.96
2023/07/20 14:16:35.285, 0, P2, 40, 2520, 51.96
2023/07/20 14:16:35.291, 0, P2, 40, 2520, 51.96
2023/07/20 14:16:35.298, 0, P2, 40, 2520, 51.96
2023/07/20 14:16:35.305, 0, P2, 40, 2520, 51.96
2023/07/20 14:16:35.312, 0, P2, 40, 2520, 51.96
2023/07/20 14:16:35.319, 0, P2, 40, 2520, 51.96
2023/07/20 14:16:35.326, 0, P2, 40, 2520, 51.96
2023/07/20 14:16:35.333, 0, P2, 40, 2520, 51.96
2023/07/20 14:16:35.340, 0, P2, 40, 2520, 51.96
2023/07/20 14:16:35.346, 0, P2, 40, 2520, 51.90
2023/07/20 14:16:35.359, 0, P2, 40, 2520, 51.90
2023/07/20 14:16:35.365, 0, P2, 40, 2520, 51.90
2023/07/20 14:16:35.372, 0, P2, 40, 2520, 51.90
2023/07/20 14:16:35.379, 0, P2, 40, 2520, 51.90
