avg_windows,losses,pmd_losses
1,1.3218548433037982,1.3206069089709962
3,1.3218548433037982,1.2935933300252749
5,1.241467667210714,1.2471537747371526
7,1.1956348050982928,1.2027339118163867
9,1.149680777247444,1.1594706317987187
11,1.1137848063749856,1.1165883397420835
13,1.0742819994248378,1.0765300530971444
15,1.0340571203886222,1.036996405388768
17,0.9929023205475552,1.0000718754882671
19,0.9569749034836599,0.9621420855434965
21,0.9153771375012831,0.9224057113499355
23,0.8785212534914747,0.8875210984504424
25,0.8452837358791147,0.8517536767064365
27,0.8077455424428893,0.817512316486939
29,0.7705099518835137,0.7823038994483733
31,0.7364137305404953,0.7478326107968776
33,0.7025310656872112,0.7127356731463602
35,0.6686247083528148,0.6801181891070439
37,0.6328524710927849,0.6443542805998836
39,0.599798051177443,0.6098552970214023
41,0.5691890910069011,0.5764311309035175
43,0.5387892594077544,0.545695497971683
45,0.5071191339706203,0.5136036987687773
47,0.47599349185478196,0.48303454713182137
49,0.44710096966321533,0.45410584638230755
51,0.41877765831994734,0.425809372230303
53,0.3923113275564831,0.3984577057562783
55,0.3652237336325112,0.3718348602539761
57,0.3388789742742921,0.3463133849310108
59,0.3143925615160309,0.32078210259348844
61,0.29050139088740345,0.2965814259622204
63,0.2691852120641303,0.2746481430595908
65,0.24843134298579497,0.2544237566632706
67,0.22745025509595043,0.23369026489328973
69,0.2072330548551266,0.21336149241804067
71,0.18643046760916257,0.1920918495705416
73,0.16642717269865515,0.17164542534674684
75,0.1468758011118248,0.1519084593966041
77,0.12888277055843292,0.1336088118161486
79,0.11151214862232489,0.11594563249382399
81,0.09566645306646888,0.10000781519928185
83,0.0812754587063729,0.08541721740540774
85,0.06869787316033701,0.07226142546688195
87,0.05671643695126199,0.06021953855546928
89,0.046054291704413525,0.049164490958705176
91,0.03671844512003137,0.039507639836136275
93,0.028082789737538263,0.030478428724561062
95,0.020739484982168762,0.022985344308779368
97,0.014283094405529124,0.01648390202156789
99,0.00928951187865955,0.01103256499719360
101,0.00958412547740530,0.00693776621187066
103,0.01317026624110920,0.01205333011449630
105,0.02095993853677530,0.02044211500400030
107,0.03082200711380030,0.03016530453508270
109,0.04350264329321720,0.03614813671996420
