timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%]
2023/05/05 01:30:59.208, 73.52, 0, 0
2023/05/05 01:30:59.216, 73.52, 0, 0
2023/05/05 01:30:59.220, 73.52, 0, 0
2023/05/05 01:30:59.224, 73.52, 0, 0
2023/05/05 01:30:59.230, 73.52, 0, 0
2023/05/05 01:30:59.236, 77.13, 0, 0
2023/05/05 01:30:59.246, 77.13, 0, 0
2023/05/05 01:30:59.251, 77.13, 0, 0
2023/05/05 01:30:59.257, 77.13, 0, 0
2023/05/05 01:30:59.261, 77.13, 0, 0
2023/05/05 01:30:59.278, 77.13, 0, 0
2023/05/05 01:30:59.282, 77.13, 0, 0
2023/05/05 01:30:59.290, 77.13, 0, 0
2023/05/05 01:30:59.298, 77.13, 0, 0
2023/05/05 01:30:59.304, 77.13, 0, 0
2023/05/05 01:30:59.311, 77.13, 0, 0
2023/05/05 01:30:59.317, 77.13, 0, 0
2023/05/05 01:30:59.323, 77.13, 0, 0
2023/05/05 01:30:59.328, 77.13, 0, 0
2023/05/05 01:30:59.333, 77.13, 0, 0
2023/05/05 01:30:59.339, 77.61, 0, 0
2023/05/05 01:30:59.345, 77.61, 0, 0
2023/05/05 01:30:59.349, 77.61, 0, 0
2023/05/05 01:30:59.357, 77.61, 0, 0
2023/05/05 01:30:59.361, 77.61, 0, 0
2023/05/05 01:30:59.367, 77.61, 0, 0
2023/05/05 01:30:59.377, 77.61, 0, 0
2023/05/05 01:30:59.382, 77.61, 0, 0
2023/05/05 01:30:59.386, 77.61, 0, 0
2023/05/05 01:30:59.393, 77.61, 0, 0
2023/05/05 01:30:59.398, 77.61, 0, 0
2023/05/05 01:30:59.404, 77.61, 0, 0
2023/05/05 01:30:59.422, 77.61, 0, 0
2023/05/05 01:30:59.426, 77.61, 0, 0
2023/05/05 01:30:59.432, 77.61, 0, 0
2023/05/05 01:30:59.439, 76.83, 0, 0
2023/05/05 01:30:59.444, 76.83, 0, 0
2023/05/05 01:30:59.449, 76.83, 0, 0
2023/05/05 01:30:59.455, 76.83, 0, 0
2023/05/05 01:30:59.461, 76.83, 0, 0
2023/05/05 01:30:59.466, 76.83, 0, 0
2023/05/05 01:30:59.472, 76.83, 0, 0
2023/05/05 01:30:59.479, 76.83, 0, 0
2023/05/05 01:30:59.484, 76.83, 0, 0
2023/05/05 01:30:59.495, 76.83, 0, 0
2023/05/05 01:30:59.502, 76.83, 0, 0
2023/05/05 01:30:59.508, 76.83, 0, 0
2023/05/05 01:30:59.515, 76.83, 0, 0
2023/05/05 01:30:59.521, 76.83, 0, 0
2023/05/05 01:30:59.526, 76.83, 0, 0
2023/05/05 01:30:59.531, 76.83, 0, 0
2023/05/05 01:30:59.536, 76.83, 0, 0
2023/05/05 01:30:59.541, 77.63, 0, 0
2023/05/05 01:30:59.547, 77.63, 0, 0
2023/05/05 01:30:59.552, 77.63, 0, 0
2023/05/05 01:30:59.557, 77.63, 0, 0
2023/05/05 01:30:59.563, 77.63, 0, 0
2023/05/05 01:30:59.568, 77.63, 0, 0
2023/05/05 01:30:59.573, 77.63, 0, 0
2023/05/05 01:30:59.581, 77.63, 0, 0
2023/05/05 01:30:59.586, 77.63, 0, 0
2023/05/05 01:30:59.592, 77.63, 0, 0
2023/05/05 01:30:59.597, 77.63, 0, 0
2023/05/05 01:30:59.602, 77.63, 0, 0
2023/05/05 01:30:59.607, 77.63, 0, 0
2023/05/05 01:30:59.612, 77.63, 0, 0
2023/05/05 01:30:59.618, 77.63, 0, 0
2023/05/05 01:30:59.624, 77.63, 0, 0
2023/05/05 01:30:59.628, 77.63, 0, 0
2023/05/05 01:30:59.633, 77.63, 0, 0
2023/05/05 01:30:59.637, 77.63, 0, 0
2023/05/05 01:30:59.643, 77.24, 0, 0
2023/05/05 01:30:59.647, 77.24, 0, 0
2023/05/05 01:30:59.652, 77.24, 0, 0
2023/05/05 01:30:59.657, 77.24, 0, 0
2023/05/05 01:30:59.663, 77.24, 0, 0
2023/05/05 01:30:59.667, 77.24, 0, 0
2023/05/05 01:30:59.671, 77.24, 0, 0
2023/05/05 01:30:59.676, 77.24, 0, 0
2023/05/05 01:30:59.683, 77.24, 0, 0
2023/05/05 01:30:59.688, 77.24, 0, 0
2023/05/05 01:30:59.692, 77.24, 5, 0
2023/05/05 01:30:59.697, 77.24, 5, 0
2023/05/05 01:30:59.704, 77.24, 5, 0
2023/05/05 01:30:59.708, 77.24, 5, 0
2023/05/05 01:30:59.712, 77.24, 5, 0
2023/05/05 01:30:59.716, 77.24, 5, 0
2023/05/05 01:30:59.720, 77.24, 5, 0
2023/05/05 01:30:59.726, 77.24, 5, 0
2023/05/05 01:30:59.730, 77.24, 5, 0
2023/05/05 01:30:59.734, 77.24, 5, 0
2023/05/05 01:30:59.738, 77.24, 5, 0
2023/05/05 01:30:59.744, 77.12, 5, 0
2023/05/05 01:30:59.749, 77.12, 5, 0
2023/05/05 01:30:59.753, 77.12, 5, 0
2023/05/05 01:30:59.757, 77.12, 5, 0
2023/05/05 01:30:59.761, 77.12, 5, 0
2023/05/05 01:30:59.767, 77.12, 5, 0
2023/05/05 01:30:59.771, 77.12, 5, 0
2023/05/05 01:30:59.775, 77.12, 5, 0
2023/05/05 01:30:59.779, 77.12, 5, 0
2023/05/05 01:30:59.785, 77.12, 5, 0
2023/05/05 01:30:59.790, 77.12, 5, 0
2023/05/05 01:30:59.794, 77.12, 5, 0
2023/05/05 01:30:59.798, 77.12, 5, 0
2023/05/05 01:30:59.802, 77.12, 5, 0
2023/05/05 01:30:59.807, 77.12, 5, 0
2023/05/05 01:30:59.811, 77.12, 5, 0
2023/05/05 01:30:59.815, 77.12, 5, 0
2023/05/05 01:30:59.819, 77.12, 5, 0
2023/05/05 01:30:59.827, 77.12, 5, 0
2023/05/05 01:30:59.831, 77.12, 5, 0
2023/05/05 01:30:59.835, 77.12, 5, 0
2023/05/05 01:30:59.839, 77.12, 5, 0
2023/05/05 01:30:59.843, 77.12, 5, 0
2023/05/05 01:30:59.848, 76.94, 5, 0
2023/05/05 01:30:59.853, 76.94, 5, 0
2023/05/05 01:30:59.857, 76.94, 5, 0
2023/05/05 01:30:59.861, 76.94, 5, 0
2023/05/05 01:30:59.867, 76.94, 5, 0
2023/05/05 01:30:59.871, 76.94, 5, 0
2023/05/05 01:30:59.875, 76.94, 5, 0
2023/05/05 01:30:59.879, 76.94, 5, 0
2023/05/05 01:30:59.884, 76.94, 5, 0
2023/05/05 01:30:59.889, 76.94, 5, 0
2023/05/05 01:30:59.893, 76.94, 5, 0
2023/05/05 01:30:59.897, 76.94, 1, 0
2023/05/05 01:30:59.902, 76.94, 1, 0
2023/05/05 01:30:59.908, 76.94, 1, 0
2023/05/05 01:30:59.912, 76.94, 1, 0
2023/05/05 01:30:59.916, 76.94, 1, 0
2023/05/05 01:30:59.920, 76.94, 1, 0
2023/05/05 01:30:59.925, 76.94, 1, 0
2023/05/05 01:30:59.930, 76.94, 1, 0
2023/05/05 01:30:59.934, 76.94, 1, 0
2023/05/05 01:30:59.939, 76.94, 1, 0
2023/05/05 01:30:59.943, 76.94, 1, 0
2023/05/05 01:30:59.949, 76.94, 1, 0
2023/05/05 01:30:59.953, 76.94, 1, 0
2023/05/05 01:30:59.957, 76.94, 1, 0
2023/05/05 01:30:59.961, 76.94, 1, 0
2023/05/05 01:30:59.965, 76.94, 1, 0
2023/05/05 01:30:59.971, 76.94, 1, 0
2023/05/05 01:30:59.975, 76.94, 1, 0
2023/05/05 01:30:59.979, 76.94, 1, 0
2023/05/05 01:30:59.983, 76.94, 1, 0
2023/05/05 01:30:59.990, 76.94, 1, 0
2023/05/05 01:30:59.994, 76.94, 1, 0
2023/05/05 01:30:59.998, 76.94, 1, 0
2023/05/05 01:31:00.002, 76.94, 1, 0
2023/05/05 01:31:00.006, 76.94, 1, 0
2023/05/05 01:31:00.013, 76.94, 1, 0
2023/05/05 01:31:00.017, 76.94, 1, 0
2023/05/05 01:31:00.021, 76.94, 1, 0
2023/05/05 01:31:00.026, 76.94, 1, 0
2023/05/05 01:31:00.032, 76.94, 1, 0
2023/05/05 01:31:00.036, 76.94, 1, 0
2023/05/05 01:31:00.041, 76.94, 1, 0
2023/05/05 01:31:00.045, 76.94, 1, 0
2023/05/05 01:31:00.051, 76.94, 1, 0
2023/05/05 01:31:00.055, 76.94, 1, 0
2023/05/05 01:31:00.059, 76.94, 1, 0
2023/05/05 01:31:00.064, 76.94, 1, 0
2023/05/05 01:31:00.071, 76.94, 1, 0
2023/05/05 01:31:00.075, 76.94, 1, 0
2023/05/05 01:31:00.079, 76.94, 1, 0
2023/05/05 01:31:00.083, 76.94, 1, 0
2023/05/05 01:31:00.087, 76.94, 1, 0
2023/05/05 01:31:00.093, 76.94, 1, 0
2023/05/05 01:31:00.097, 76.94, 1, 0
2023/05/05 01:31:00.101, 76.94, 0, 0
2023/05/05 01:31:00.105, 76.94, 0, 0
2023/05/05 01:31:00.112, 76.94, 0, 0
2023/05/05 01:31:00.116, 76.94, 0, 0
2023/05/05 01:31:00.133, 76.94, 0, 0
2023/05/05 01:31:00.138, 76.94, 0, 0
2023/05/05 01:31:00.143, 76.94, 0, 0
2023/05/05 01:31:00.147, 76.94, 0, 0
2023/05/05 01:31:00.153, 77.63, 0, 0
2023/05/05 01:31:00.157, 77.63, 0, 0
2023/05/05 01:31:00.162, 77.63, 0, 0
2023/05/05 01:31:00.167, 77.63, 0, 0
2023/05/05 01:31:00.173, 77.63, 0, 0
2023/05/05 01:31:00.178, 77.63, 0, 0
2023/05/05 01:31:00.182, 77.63, 0, 0
2023/05/05 01:31:00.186, 77.63, 0, 0
2023/05/05 01:31:00.193, 77.63, 0, 0
2023/05/05 01:31:00.198, 77.63, 0, 0
2023/05/05 01:31:00.202, 77.63, 0, 0
2023/05/05 01:31:00.207, 77.63, 0, 0
2023/05/05 01:31:00.213, 77.63, 0, 0
2023/05/05 01:31:00.218, 77.63, 0, 0
2023/05/05 01:31:00.222, 77.63, 0, 0
2023/05/05 01:31:00.227, 77.63, 0, 0
2023/05/05 01:31:00.234, 77.63, 0, 0
2023/05/05 01:31:00.239, 77.63, 0, 0
2023/05/05 01:31:00.243, 77.63, 0, 0
2023/05/05 01:31:00.248, 77.63, 0, 0
2023/05/05 01:31:00.254, 77.72, 0, 0
2023/05/05 01:31:00.259, 77.72, 0, 0
